Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio,EnterpriseValue_forwardfill,EnterpriseValue_globalmean,EnterpriseValue_meanlast260,EnterpriseValue_linearfit260,EnterpriseValue_cubicfit260,PeRatio_forwardfill,PeRatio_globalmean,PeRatio_meanlast260,PeRatio_linearfit260,PeRatio_cubicfit260,ForwardPeRatio_forwardfill,ForwardPeRatio_globalmean,ForwardPeRatio_meanlast260,ForwardPeRatio_linearfit260,ForwardPeRatio_cubicfit260,PegRatio_forwardfill,PegRatio_globalmean,PegRatio_meanlast260,PegRatio_linearfit260,PegRatio_cubicfit260,EnterprisesValueEBITDARatio_forwardfill,EnterprisesValueEBITDARatio_globalmean,EnterprisesValueEBITDARatio_meanlast260,EnterprisesValueEBITDARatio_linearfit260,EnterprisesValueEBITDARatio_cubicfit260,missing-1or1,time_lag
2017-03-31,35.91500092,780815000000.0,17.123,16.026,2.463,44.501,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,1,0
2017-04-03,35.92499924,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,1
2017-04-04,36.19250107,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,2
2017-04-05,36.00500107,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,3
2017-04-06,35.91500092,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,4
2017-04-07,35.83499908,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,5
2017-04-10,35.79249954,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,6
2017-04-11,35.40750122,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,7
2017-04-12,35.45000076,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,8
2017-04-13,35.26250076,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,9
2017-04-17,35.45750046,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,10
2017-04-18,35.29999924,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,11
2017-04-19,35.16999817,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,12
2017-04-20,35.61000061,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,13
2017-04-21,35.56750107,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,14
2017-04-24,35.90999985,,,,,,780815000000.0,780815000000.0,780815000000.0,780815000000.0,780815000000.0,17.123,17.123,17.123,17.123,17.123,16.026,16.026,16.026,16.026,16.026,2.463,2.463,2.463,2.463,2.463,44.501,44.501,44.501,44.501,44.501,-1,15
