Close_ahead30,Close_ahead30_missing30
64.52999878,64.52999878
64.51999664,64.51999664
64.62000275,
64.48999786,64.48999786
64.36000061,64.36000061
64.62000275,
64.62000275,64.62000275
64.23000336,64.23000336
63.97999954,
64.94000244,64.94000244
64.01000214,64.01000214
64.25,
64.26999664,64.26999664
64.40000153,64.40000153
64.98999786,
64.73000336,64.73000336
64.93000031,64.93000031
64.70999908,
64.41000366,64.41000366
64.75,64.75
64.63999939,
64.87000275,64.87000275
64.93000031,64.93000031
64.20999908,
65.02999878,65.02999878
64.87000275,64.87000275
64.98000336,
65.09999847,65.09999847
65.29000092,65.29000092
65.47000122,
65.70999908,65.70999908
65.86000061,65.86000061
65.55000305,
65.73000336,65.73000336
65.55999756,65.55999756
65.73000336,
65.68000031,65.68000031
65.52999878,65.52999878
65.48000336,
65.23000336,65.23000336
64.94999695,64.94999695
65.48000336,
65.38999939,65.38999939
65.04000092,65.04000092
65.5,
66.40000153,66.40000153
67.52999878,67.52999878
67.91999817,
67.83000183,67.83000183
68.26999664,68.26999664
68.45999908,
69.41000366,69.41000366
69.30000305,69.30000305
69.08000183,
68.80999756,68.80999756
69,69
68.94000244,
69.04000092,69.04000092
69.30999756,69.30999756
68.45999908,
68.37999725,68.37999725
68.43000031,68.43000031
69.41000366,
67.48000336,67.48000336
67.70999908,67.70999908
67.69000244,
68.44999695,68.44999695
68.68000031,68.68000031
68.76999664,
69.62000275,69.62000275
69.95999908,69.95999908
70.41000366,
69.83999634,69.83999634
70.09999847,70.09999847
71.76000214,
72.27999878,72.27999878
72.51999664,72.51999664
72.38999939,
71.94999695,71.94999695
70.31999969,70.31999969
69.77999878,
70.65000153,70.65000153
70.26999664,70.26999664
69.90000153,
70,70
70.87000275,70.87000275
69.91000366,
70.26999664,70.26999664
70.26000214,70.26000214
71.20999908,
70.52999878,70.52999878
69.20999908,69.20999908
69.80000305,
68.48999786,68.48999786
68.93000031,68.93000031
68.16999817,
69.08000183,69.08000183
68.56999969,68.56999969
69.45999908,
69.98000336,69.98000336
69.98999786,69.98999786
71.15000153,
71.76999664,71.76999664
72.77999878,72.77999878
73.34999847,
73.30000305,73.30000305
73.86000061,73.86000061
74.22000122,
73.79000092,73.79000092
73.59999847,73.59999847
74.19000244,
74.05000305,74.05000305
73.16000366,73.16000366
73.04000092,
72.69999695,72.69999695
72.58000183,72.58000183
72.26000214,
72.15000153,72.15000153
72.68000031,72.68000031
72.40000153,
72.79000092,72.79000092
72.47000122,72.47000122
71.41000366,
72.5,72.5
73.58999634,73.58999634
73.22000122,
73.65000153,73.65000153
72.40000153,72.40000153
72.48999786,
72.15000153,72.15000153
73.16000366,73.16000366
72.72000122,
72.69000244,72.69000244
72.81999969,72.81999969
72.83000183,
73.05000305,73.05000305
74.01000214,74.01000214
74.76999664,
73.94000244,73.94000244
73.61000061,73.61000061
73.40000153,
74.33999634,74.33999634
73.98000336,73.98000336
74.76000214,
74.68000031,74.68000031
75.20999908,75.20999908
74.76999664,
75.30999756,75.30999756
75.16000366,75.16000366
75.44000244,
74.94000244,74.94000244
74.20999908,74.20999908
74.41000366,
73.26000214,73.26000214
73.26000214,73.26000214
73.84999847,
73.87000275,73.87000275
74.48999786,74.48999786
74.61000061,
74.26000214,74.26000214
74.69000244,74.69000244
75.97000122,
76,76
76.29000092,76.29000092
76.29000092,
76.41999817,76.41999817
77.12000275,77.12000275
77.48999786,
77.65000153,77.65000153
77.58999634,77.58999634
77.61000061,
77.91000366,77.91000366
78.80999756,78.80999756
78.83000183,
78.86000061,78.86000061
78.62999725,78.62999725
78.76000214,
83.80999756,83.80999756
83.88999939,83.88999939
83.18000031,
83.18000031,83.18000031
84.05000305,84.05000305
84.13999939,
84.47000122,84.47000122
84.26999664,84.26999664
84.55999756,
84.08999634,84.08999634
83.87000275,83.87000275
83.93000031,
84.05000305,84.05000305
82.98000336,82.98000336
83.19999695,
82.40000153,82.40000153
82.52999878,82.52999878
83.72000122,
83.11000061,83.11000061
83.26000214,83.26000214
83.87000275,
84.87999725,84.87999725
83.33999634,83.33999634
84.16999817,
84.26000214,84.26000214
81.08000183,81.08000183
81.58999634,
82.77999878,82.77999878
82.48999786,82.48999786
84.16000366,
85.23000336,85.23000336
85.58000183,85.58000183
85.34999847,
84.69000244,84.69000244
86.84999847,86.84999847
86.37999725,
85.83000183,85.83000183
85.51999664,85.51999664
85.5,
85.51000214,85.51000214
85.40000153,85.40000153
85.70999908,
85.72000122,85.72000122
85.54000092,85.54000092
85.94999695,
86.34999847,86.34999847
87.11000061,87.11000061
88.19000244,
88.27999878,88.27999878
88.22000122,88.22000122
87.81999969,
88.08000183,88.08000183
89.59999847,89.59999847
88.34999847,
90.13999939,90.13999939
90.09999847,90.09999847
90,
91.61000061,91.61000061
91.90000153,91.90000153
91.81999969,
92.33000183,92.33000183
94.05999756,94.05999756
93.91999817,
92.73999786,92.73999786
95.01000214,95.01000214
94.26000214,
91.77999878,91.77999878
88,88
91.33000183,
89.61000061,89.61000061
85.01000214,85.01000214
88.18000031,
89.12999725,89.12999725
89.83000183,89.83000183
90.80999756,
92.66000366,92.66000366
92,92
92.72000122,
91.48999786,91.48999786
91.73000336,91.73000336
94.05999756,
95.41999817,95.41999817
94.19999695,94.19999695
93.76999664,
92.84999847,92.84999847
93.05000305,93.05000305
93.63999939,
93.31999969,93.31999969
93.86000061,93.86000061
94.43000031,
96.54000092,96.54000092
96.76999664,96.76999664
94.41000366,
93.84999847,93.84999847
94.18000031,94.18000031
94.59999847,
92.88999939,92.88999939
93.12999725,93.12999725
92.48000336,
89.79000092,89.79000092
87.18000031,87.18000031
93.77999878,
89.47000122,89.47000122
89.38999939,89.38999939
91.26999664,
88.51999664,88.51999664
89.70999908,89.70999908
92.33000183,
92.37999725,92.37999725
90.23000336,90.23000336
90.76999664,
