Id,Creation Time,Owner,Tags,logs/imputation,Running Time,logs/company,logs/missingness,logs/seed,logs/smape (last)
EX1-105,2021-08-04 19:13:25,mavantwout,"[""1D-prediction"",""single_run"",""price_imputed"",""seed4"",""20-predictions"",""no-extra-feature"",""20-step-ahead"",""4-year""]",cubicfit260,171.319,KO,985,4,
EX1-104,2021-08-04 19:12:38,mavantwout,"[""single_run"",""4-year"",""20-predictions"",""1D-prediction"",""no-extra-feature"",""seed4"",""20-step-ahead"",""price_imputed""]",globalmean,350.729,KO,985,4,0.02994641378147561
EX1-103,2021-08-04 19:11:38,mavantwout,"[""4-year"",""seed4"",""1D-prediction"",""20-step-ahead"",""price_imputed"",""single_run"",""20-predictions"",""no-extra-feature""]",linearfit260,326.03,KO,985,4,0.007539948929949573
EX1-102,2021-08-04 19:09:56,mavantwout,"[""20-step-ahead"",""20-predictions"",""single_run"",""seed4"",""no-extra-feature"",""1D-prediction"",""price_imputed"",""4-year""]",forwardfill,309.867,KO,985,4,0.00659570334462421
EX1-101,2021-08-04 19:09:51,mavantwout,"[""price_imputed"",""no-extra-feature"",""20-predictions"",""single_run"",""seed4"",""20-step-ahead"",""1D-prediction"",""4-year""]",meanlast260,305.769,KO,985,4,0.034620366619529885
EX1-100,2021-08-04 19:08:15,mavantwout,"[""1D-prediction"",""single_run"",""price_imputed"",""20-predictions"",""seed3"",""no-extra-feature"",""20-step-ahead"",""4-year""]",cubicfit260,310.245,KO,985,3,0.006272855903097052
EX1-99,2021-08-04 19:06:48,mavantwout,"[""single_run"",""4-year"",""20-predictions"",""seed3"",""1D-prediction"",""no-extra-feature"",""20-step-ahead"",""price_imputed""]",globalmean,350.284,KO,985,3,0.0063446345581406795
EX1-98,2021-08-04 19:06:07,mavantwout,"[""4-year"",""1D-prediction"",""seed3"",""20-step-ahead"",""price_imputed"",""single_run"",""20-predictions"",""no-extra-feature""]",linearfit260,329.999,KO,985,3,0.006825947761345236
EX1-97,2021-08-04 19:04:46,mavantwout,"[""20-step-ahead"",""20-predictions"",""single_run"",""no-extra-feature"",""1D-prediction"",""price_imputed"",""seed3"",""4-year""]",forwardfill,309.994,KO,985,3,0.006122885634965869
EX1-96,2021-08-04 19:04:45,mavantwout,"[""price_imputed"",""no-extra-feature"",""20-predictions"",""single_run"",""20-step-ahead"",""1D-prediction"",""4-year"",""seed3""]",meanlast260,306.624,KO,985,3,0.006007673917012878
EX1-95,2021-08-04 19:03:05,mavantwout,"[""1D-prediction"",""single_run"",""seed2"",""price_imputed"",""20-predictions"",""no-extra-feature"",""20-step-ahead"",""4-year""]",cubicfit260,309.58,KO,985,2,0.006980918587857957
EX1-94,2021-08-04 19:00:57,mavantwout,"[""single_run"",""4-year"",""seed2"",""20-predictions"",""1D-prediction"",""no-extra-feature"",""20-step-ahead"",""price_imputed""]",globalmean,349.494,KO,985,2,0.007763857140655241
EX1-93,2021-08-04 19:00:30,mavantwout,"[""seed2"",""4-year"",""1D-prediction"",""20-step-ahead"",""price_imputed"",""single_run"",""20-predictions"",""no-extra-feature""]",linearfit260,335.408,KO,985,2,0.008578264610562585
EX1-92,2021-08-04 18:59:37,mavantwout,"[""price_imputed"",""no-extra-feature"",""20-predictions"",""single_run"",""seed2"",""20-step-ahead"",""1D-prediction"",""4-year""]",meanlast260,307.227,KO,985,2,0.007156180492708728
EX1-91,2021-08-04 18:59:33,mavantwout,"[""seed2"",""20-step-ahead"",""20-predictions"",""single_run"",""no-extra-feature"",""1D-prediction"",""price_imputed"",""4-year""]",forwardfill,312.799,KO,985,2,0.006338901079565487
EX1-90,2021-08-04 18:57:54,mavantwout,"[""1D-prediction"",""seed1"",""single_run"",""price_imputed"",""20-predictions"",""no-extra-feature"",""20-step-ahead"",""4-year""]",cubicfit260,310.951,KO,985,1,0.014672526483064333
EX1-89,2021-08-04 18:55:07,mavantwout,"[""single_run"",""4-year"",""20-predictions"",""1D-prediction"",""no-extra-feature"",""20-step-ahead"",""seed1"",""price_imputed""]",globalmean,349.805,KO,985,1,0.006934076814152675
EX1-88,2021-08-04 18:54:58,mavantwout,"[""4-year"",""1D-prediction"",""20-step-ahead"",""price_imputed"",""single_run"",""seed1"",""20-predictions"",""no-extra-feature""]",linearfit260,330.808,KO,985,1,0.006334202255890929
EX1-87,2021-08-04 18:54:31,mavantwout,"[""price_imputed"",""no-extra-feature"",""20-predictions"",""single_run"",""20-step-ahead"",""1D-prediction"",""4-year"",""seed1""]",meanlast260,305.84,KO,985,1,0.005931364059268852
EX1-86,2021-08-04 18:54:20,mavantwout,"[""20-step-ahead"",""20-predictions"",""single_run"",""no-extra-feature"",""seed1"",""1D-prediction"",""price_imputed"",""4-year""]",forwardfill,312.451,KO,985,1,0.0062881872956766826
EX1-85,2021-08-04 18:52:36,mavantwout,"[""1D-prediction"",""single_run"",""price_imputed"",""seed0"",""20-predictions"",""no-extra-feature"",""20-step-ahead"",""4-year""]",cubicfit260,317.366,KO,985,0,0.008858570908651218
EX1-84,2021-08-04 18:49:18,mavantwout,"[""4-year"",""1D-prediction"",""20-step-ahead"",""price_imputed"",""single_run"",""seed0"",""20-predictions"",""no-extra-feature""]",linearfit260,339.666,KO,985,0,0.026892244594935222
EX1-83,2021-08-04 18:49:17,mavantwout,"[""price_imputed"",""no-extra-feature"",""20-predictions"",""seed0"",""single_run"",""20-step-ahead"",""1D-prediction"",""4-year""]",meanlast260,314.309,KO,985,0,0.006654170777169649
EX1-82,2021-08-04 18:49:12,mavantwout,"[""single_run"",""4-year"",""20-predictions"",""1D-prediction"",""no-extra-feature"",""20-step-ahead"",""seed0"",""price_imputed""]",globalmean,354.433,KO,985,0,0.006761530166396075
EX1-81,2021-08-04 18:49:01,mavantwout,"[""20-step-ahead"",""20-predictions"",""single_run"",""no-extra-feature"",""seed0"",""1D-prediction"",""price_imputed"",""4-year""]",forwardfill,317.572,KO,985,0,0.005939045460563914
EX1-80,2021-08-04 18:48:52,mavantwout,"[""20-predictions"",""single_run"",""20-step-ahead"",""price_imputed"",""4-year"",""no-extra-feature"",""seed0"",""5D-prediction""]",5_imputations_combined,6.557,,,0,
EX1-79,2021-08-04 14:36:50,mavantwout,"[""single_run"",""20-predictions"",""4-year"",""price_imputed"",""1D-prediction"",""seed4"",""no-extra-feature"",""20-step-ahead""]",forwardfill,91.98,MSFT,985,4,0.019293733797654138
EX1-78,2021-08-04 14:36:49,mavantwout,"[""20-predictions"",""4-year"",""seed4"",""no-extra-feature"",""single_run"",""20-step-ahead"",""1D-prediction"",""price_imputed""]",globalmean,91.699,MSFT,985,4,0.01907748483790601
EX1-77,2021-08-04 14:36:48,mavantwout,"[""5D-prediction"",""4-year"",""20-predictions"",""no-extra-feature"",""seed4"",""20-step-ahead"",""single_run"",""price_imputed""]",5_imputations_combined,106.699,MSFT,985,4,0.01620169699119655
EX1-76,2021-08-04 14:36:31,mavantwout,"[""single_run"",""seed4"",""no-extra-feature"",""1D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""price_imputed""]",meanlast260,85.334,MSFT,985,4,0.019247165621976058
EX1-75,2021-08-04 14:36:22,mavantwout,"[""20-predictions"",""no-extra-feature"",""price_imputed"",""20-step-ahead"",""seed4"",""4-year"",""1D-prediction"",""single_run""]",cubicfit260,84.188,MSFT,985,4,0.0244615795816314
EX1-74,2021-08-04 14:35:48,mavantwout,"[""4-year"",""price_imputed"",""20-predictions"",""no-extra-feature"",""1D-prediction"",""seed4"",""single_run"",""20-step-ahead""]",linearfit260,76.447,MSFT,985,4,0.02254761425930163
EX1-73,2021-08-04 14:35:19,mavantwout,"[""single_run"",""20-predictions"",""4-year"",""price_imputed"",""seed3"",""1D-prediction"",""no-extra-feature"",""20-step-ahead""]",forwardfill,90.899,MSFT,985,3,0.020468808982075395
EX1-72,2021-08-04 14:35:19,mavantwout,"[""20-predictions"",""seed3"",""4-year"",""no-extra-feature"",""single_run"",""20-step-ahead"",""1D-prediction"",""price_imputed""]",globalmean,90.354,MSFT,985,3,0.0190884780819367
EX1-71,2021-08-04 14:35:06,mavantwout,"[""single_run"",""no-extra-feature"",""1D-prediction"",""4-year"",""20-predictions"",""20-step-ahead"",""seed3"",""price_imputed""]",meanlast260,84.27,MSFT,985,3,0.05432871905533264
EX1-70,2021-08-04 14:35:03,mavantwout,"[""5D-prediction"",""4-year"",""20-predictions"",""no-extra-feature"",""seed3"",""20-step-ahead"",""single_run"",""price_imputed""]",5_imputations_combined,104.268,MSFT,985,3,0.0191168885429335
EX1-69,2021-08-04 14:34:58,mavantwout,"[""20-predictions"",""no-extra-feature"",""price_imputed"",""20-step-ahead"",""4-year"",""1D-prediction"",""single_run"",""seed3""]",cubicfit260,83.995,MSFT,985,3,0.02025454183753352
EX1-68,2021-08-04 14:34:31,mavantwout,"[""4-year"",""price_imputed"",""seed3"",""20-predictions"",""no-extra-feature"",""1D-prediction"",""single_run"",""20-step-ahead""]",linearfit260,76.235,MSFT,985,3,0.022393465031299346
EX1-67,2021-08-04 14:33:48,mavantwout,"[""single_run"",""20-predictions"",""4-year"",""price_imputed"",""seed2"",""1D-prediction"",""no-extra-feature"",""20-step-ahead""]",forwardfill,91.233,MSFT,985,2,0.0197025589076368
