Id,Creation Time,Owner,Tags,logs/missingness,logs/seed,logs/imputation,logs/company,logs/smape (last),Running Time,properties/data
EX2-284,2021-08-08 10:00:58,mavantwout,"[""4-year"",""20-step-ahead"",""20-predictions"",""seed8"",""single_run"",""shifted30"",""2D-prediction""]",985,8,globalmean,KO,0.007145504510489284,352.346,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-282,2021-08-08 09:55:05,mavantwout,"[""4-year"",""20-step-ahead"",""20-predictions"",""single_run"",""shifted30"",""2D-prediction"",""seed7""]",985,7,globalmean,KO,0.03264928312148872,351.676,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-279,2021-08-08 09:43:35,mavantwout,"[""seed5"",""4-year"",""shifted30"",""20-predictions"",""single_run"",""20-step-ahead"",""2D-prediction""]",90,5,forwardfill,KO,0.006939269784508319,368.061,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-278,2021-08-08 09:43:19,mavantwout,"[""4-year"",""seed5"",""20-step-ahead"",""20-predictions"",""single_run"",""shifted30"",""2D-prediction""]",985,5,globalmean,KO,0.0067992906881376184,351.894,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-277,2021-08-08 09:37:21,mavantwout,"[""4-year"",""seed4"",""20-step-ahead"",""20-predictions"",""single_run"",""shifted30"",""2D-prediction""]",985,4,globalmean,KO,0.006397434789352322,352.224,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-276,2021-08-08 09:37:21,mavantwout,"[""seed4"",""4-year"",""shifted30"",""20-predictions"",""single_run"",""20-step-ahead"",""2D-prediction""]",90,4,forwardfill,KO,0.005942951816640641,373.221,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-268,2021-08-04 19:38:29,mavantwout,"[""single_run"",""shifted30"",""4-year"",""20-step-ahead"",""20-predictions"",""seed4"",""2D-prediction""]",985,4,linearfit260,KO,0.00601210766111481,352.373,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-267,2021-08-04 19:35:17,mavantwout,"[""single_run"",""4-year"",""seed4"",""shifted30"",""2D-prediction"",""20-predictions"",""20-step-ahead""]",985,4,meanlast260,KO,0.006007698518677459,337.234,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-266,2021-08-04 19:35:15,mavantwout,"[""4-year"",""20-predictions"",""seed4"",""20-step-ahead"",""2D-prediction"",""shifted30"",""single_run""]",985,4,cubicfit260,KO,0.0066409090133513204,327.104,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-265,2021-08-04 19:32:34,mavantwout,"[""seed3"",""single_run"",""shifted30"",""4-year"",""20-step-ahead"",""20-predictions"",""2D-prediction""]",985,3,linearfit260,KO,0.0062028573586119075,353.517,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-264,2021-08-04 19:31:19,mavantwout,"[""shifted30"",""2D-prediction"",""single_run"",""seed4"",""4-year"",""20-predictions"",""20-step-ahead""]",985,4,forwardfill,KO,0.007110383690771735,321.245,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-263,2021-08-04 19:29:48,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""2D-prediction"",""shifted30"",""seed3"",""single_run""]",985,3,cubicfit260,KO,0.006182802532376358,326.34,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-262,2021-08-04 19:29:43,mavantwout,"[""seed4"",""20-step-ahead"",""20-predictions"",""4-year"",""shifted30"",""2D-prediction"",""single_run""]",90,4,linearfit260,KO,0.010257580830221581,336.253,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-261,2021-08-04 19:29:41,mavantwout,"[""seed4"",""shifted30"",""single_run"",""20-predictions"",""20-step-ahead"",""2D-prediction"",""4-year""]",90,4,cubicfit260,KO,0.04115032647476803,316.613,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-260,2021-08-04 19:29:40,mavantwout,"[""single_run"",""4-year"",""seed3"",""shifted30"",""2D-prediction"",""20-predictions"",""20-step-ahead""]",985,3,meanlast260,KO,0.00781456290674303,336.44,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-259,2021-08-04 19:28:42,mavantwout,"[""seed4"",""shifted30"",""2D-prediction"",""4-year"",""20-predictions"",""single_run"",""20-step-ahead""]",90,4,meanlast260,KO,0.032002577026141135,287.499,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-258,2021-08-04 19:26:42,mavantwout,"[""single_run"",""shifted30"",""seed2"",""4-year"",""20-step-ahead"",""20-predictions"",""2D-prediction""]",985,2,linearfit260,KO,0.006629842795942485,351.373,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-257,2021-08-04 19:25:57,mavantwout,"[""shifted30"",""2D-prediction"",""single_run"",""seed3"",""4-year"",""20-predictions"",""20-step-ahead""]",985,3,forwardfill,KO,0.009455716335428818,321.298,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-256,2021-08-04 19:24:40,mavantwout,"[""seed4"",""shifted30"",""2D-prediction"",""20-step-ahead"",""20-predictions"",""4-year"",""single_run""]",90,4,globalmean,KO,0.00692256813320489,302.45,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-255,2021-08-04 19:24:24,mavantwout,"[""seed3"",""shifted30"",""single_run"",""20-predictions"",""20-step-ahead"",""2D-prediction"",""4-year""]",90,3,cubicfit260,KO,0.015797020751980397,316.245,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-254,2021-08-04 19:24:21,mavantwout,"[""4-year"",""20-predictions"",""20-step-ahead"",""seed2"",""2D-prediction"",""shifted30"",""single_run""]",985,2,cubicfit260,KO,0.0067349187738901,326.186,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-253,2021-08-04 19:24:11,mavantwout,"[""20-step-ahead"",""20-predictions"",""seed3"",""4-year"",""shifted30"",""2D-prediction"",""single_run""]",90,3,linearfit260,KO,0.007470938979144079,331.62,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
EX2-252,2021-08-04 19:24:02,mavantwout,"[""seed2"",""single_run"",""4-year"",""shifted30"",""2D-prediction"",""20-predictions"",""20-step-ahead""]",985,2,meanlast260,KO,0.005974341243412643,336.794,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX2-251,2021-08-04 19:23:55,mavantwout,"[""shifted30"",""2D-prediction"",""4-year"",""20-predictions"",""single_run"",""20-step-ahead"",""seed3""]",90,3,meanlast260,KO,0.007199728545306966,286.501,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing90/KO_Shifted_30ahead_m90.csv
