Id,Creation Time,Owner,Tags,logs/company,logs/imputation,logs/seed
EX3-83,2021-08-04 19:38:48,mavantwout,"[""single_run"",""quarterly"",""seed4"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""4-year"",""6D-prediction""]",KO,forwardfill,4
EX3-82,2021-08-04 19:36:44,mavantwout,"[""6D-prediction"",""quarterly"",""seed4"",""4-year"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,globalmean,4
EX3-81,2021-08-04 19:36:10,mavantwout,"[""4-year"",""no-extra-feature"",""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""6D-prediction"",""seed4""]",KO,cubicfit260,4
EX3-80,2021-08-04 19:35:42,mavantwout,"[""4-year"",""seed4"",""quarterly"",""11D-prediction"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,2_imputations_combined,4
EX3-79,2021-08-04 19:32:46,mavantwout,"[""single_run"",""quarterly"",""20-step-ahead"",""seed3"",""20-predictions"",""no-extra-feature"",""4-year"",""6D-prediction""]",KO,forwardfill,3
EX3-78,2021-08-04 19:31:18,mavantwout,"[""6D-prediction"",""quarterly"",""4-year"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run"",""seed3""]",KO,globalmean,3
EX3-77,2021-08-04 19:30:58,mavantwout,"[""4-year"",""no-extra-feature"",""single_run"",""quarterly"",""seed3"",""20-step-ahead"",""20-predictions"",""6D-prediction""]",KO,cubicfit260,3
EX3-76,2021-08-04 19:30:20,mavantwout,"[""4-year"",""quarterly"",""11D-prediction"",""20-step-ahead"",""seed3"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,2_imputations_combined,3
EX3-75,2021-08-04 19:26:49,mavantwout,"[""single_run"",""quarterly"",""20-step-ahead"",""seed2"",""20-predictions"",""no-extra-feature"",""4-year"",""6D-prediction""]",KO,forwardfill,2
EX3-74,2021-08-04 19:25:56,mavantwout,"[""6D-prediction"",""quarterly"",""seed2"",""4-year"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,globalmean,2
EX3-73,2021-08-04 19:25:45,mavantwout,"[""4-year"",""no-extra-feature"",""single_run"",""quarterly"",""20-step-ahead"",""seed2"",""20-predictions"",""6D-prediction""]",KO,cubicfit260,2
EX3-72,2021-08-04 19:24:58,mavantwout,"[""4-year"",""quarterly"",""11D-prediction"",""20-step-ahead"",""seed2"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,2_imputations_combined,2
EX3-71,2021-08-04 19:21:22,mavantwout,"[""20-predictions"",""6D-prediction"",""single_run"",""4-year"",""seed1"",""no-extra-feature"",""quarterly"",""20-step-ahead""]",KO,meanlast260,1
EX3-70,2021-08-04 19:20:53,mavantwout,"[""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""no-extra-feature"",""4-year"",""6D-prediction"",""seed1""]",KO,forwardfill,1
EX3-69,2021-08-04 19:20:35,mavantwout,"[""6D-prediction"",""quarterly"",""seed1"",""4-year"",""20-step-ahead"",""no-extra-feature"",""20-predictions"",""single_run""]",KO,globalmean,1
EX3-68,2021-08-04 19:20:33,mavantwout,"[""4-year"",""no-extra-feature"",""seed1"",""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""6D-prediction""]",KO,cubicfit260,1
EX3-67,2021-08-04 19:19:36,mavantwout,"[""4-year"",""quarterly"",""11D-prediction"",""20-step-ahead"",""no-extra-feature"",""seed1"",""20-predictions"",""single_run""]",KO,2_imputations_combined,1
