Id,Creation Time,Owner,Tags,Running Time,logs/seed,logs/company,logs/imputation,logs/missingness,logs/smape (last),properties/data
EX4-589,2021-08-05 13:47:47,mavantwout,"[""4-year"",""3D-prediction"",""shifted30"",""20-step-ahead"",""presence"",""seed5"",""single_run"",""20-predictions""]",316.642,5,KO,cubicfit260,985,0.0064555046307681494,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-587,2021-08-05 11:55:16,mavantwout,"[""single_run"",""20-predictions"",""presence"",""shifted30"",""4-year"",""20-step-ahead"",""seed3"",""3D-prediction""]",311.62,3,KO,cubicfit260,985,0.026381224558306115,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-586,2021-08-05 11:50:04,mavantwout,"[""single_run"",""20-predictions"",""presence"",""shifted30"",""4-year"",""20-step-ahead"",""3D-prediction"",""seed2""]",311.514,2,KO,cubicfit260,985,0.0068759182576544455,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-585,2021-08-05 11:44:57,mavantwout,"[""single_run"",""20-predictions"",""seed1"",""presence"",""shifted30"",""4-year"",""20-step-ahead"",""3D-prediction""]",306.12,1,KO,cubicfit260,985,0.006613300038595005,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-584,2021-08-05 11:39:25,mavantwout,"[""single_run"",""20-predictions"",""presence"",""shifted30"",""4-year"",""20-step-ahead"",""3D-prediction"",""seed0""]",331.255,0,KO,cubicfit260,985,0.0315216062900046,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-582,2021-08-05 11:17:30,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""presence"",""single_run"",""20-step-ahead"",""20-predictions"",""seed4""]",322.077,4,KO,meanlast260,985,0.008437201287319705,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-581,2021-08-05 11:16:00,mavantwout,"[""single_run"",""4-year"",""shifted30"",""3D-prediction"",""20-step-ahead"",""20-predictions"",""seed4"",""time-lag""]",316.295,4,KO,globalmean,33,0.0059765810500828735,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-579,2021-08-05 11:12:06,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""presence"",""single_run"",""20-step-ahead"",""seed3"",""20-predictions""]",321.823,3,KO,meanlast260,985,0.048373776407890166,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-578,2021-08-05 11:10:38,mavantwout,"[""seed3"",""single_run"",""4-year"",""shifted30"",""3D-prediction"",""20-step-ahead"",""20-predictions"",""time-lag""]",321.152,3,KO,globalmean,33,0.006291004286459951,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-576,2021-08-05 11:06:43,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""presence"",""single_run"",""seed2"",""20-step-ahead"",""20-predictions""]",322.017,2,KO,meanlast260,985,0.025494440400986647,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-575,2021-08-05 11:05:15,mavantwout,"[""single_run"",""4-year"",""shifted30"",""3D-prediction"",""seed2"",""20-step-ahead"",""20-predictions"",""time-lag""]",316.788,2,KO,globalmean,33,0.007391353041891796,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-573,2021-08-05 11:01:21,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""seed1"",""presence"",""single_run"",""20-step-ahead"",""20-predictions""]",321.621,1,KO,meanlast260,985,0.006201322049260994,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-572,2021-08-05 10:59:51,mavantwout,"[""single_run"",""seed1"",""4-year"",""shifted30"",""3D-prediction"",""20-step-ahead"",""20-predictions"",""time-lag""]",322.586,1,KO,globalmean,33,0.005993862603537689,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-570,2021-08-05 10:55:53,mavantwout,"[""3D-prediction"",""4-year"",""shifted30"",""presence"",""single_run"",""20-step-ahead"",""seed0"",""20-predictions""]",326.835,0,KO,meanlast260,985,0.01724182109676744,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing985/KO_Shifted_30ahead_m985.csv
EX4-569,2021-08-05 10:54:28,mavantwout,"[""single_run"",""4-year"",""shifted30"",""3D-prediction"",""20-step-ahead"",""seed0"",""20-predictions"",""time-lag""]",322.643,0,KO,globalmean,33,0.007107321777024454,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/KO_Shifted_30ahead_m33.csv
EX4-568,2021-08-05 10:48:27,mavantwout,"[""3D-prediction"",""shifted30"",""single_run"",""20-step-ahead"",""20-predictions"",""time-lag"",""4-year"",""seed4""]",91.26,4,MSFT,meanlast260,33,0.05165015470113891,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
EX4-567,2021-08-05 10:46:55,mavantwout,"[""3D-prediction"",""seed3"",""shifted30"",""single_run"",""20-step-ahead"",""20-predictions"",""time-lag"",""4-year""]",91.313,3,MSFT,meanlast260,33,0.026627474004330288,/home/nfs/mavantwout/thesis_datasets/Dataset3/Missing33/MSFT_Shifted_30ahead_m33.csv
