Id,Creation Time,Owner,Tags,Running Time,logs/smape (average),logs/company,logs/imputation,logs/seed
EX5-205,2021-08-05 17:21:25,mavantwout,"[""12D-prediction"",""time-lag"",""20-step-ahead"",""4-year"",""quarterly"",""20-predictions"",""seed4"",""single_run""]",106.578,0.027808699359531414,MSFT,2_imputations_combined,4
EX5-204,2021-08-05 17:21:16,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""quarterly"",""4-year"",""seed4"",""single_run"",""12D-prediction""]",117.137,0.020755848252686004,MSFT,2_imputations_combined,4
EX5-203,2021-08-05 17:19:38,mavantwout,"[""12D-prediction"",""time-lag"",""20-step-ahead"",""4-year"",""quarterly"",""seed3"",""20-predictions"",""single_run""]",106.353,0.014457325513344383,MSFT,2_imputations_combined,3
EX5-202,2021-08-05 17:19:19,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""quarterly"",""4-year"",""single_run"",""seed3"",""12D-prediction""]",116.686,0.02300594221403627,MSFT,2_imputations_combined,3
EX5-201,2021-08-05 17:17:46,mavantwout,"[""12D-prediction"",""time-lag"",""seed2"",""20-step-ahead"",""4-year"",""quarterly"",""20-predictions"",""single_run""]",111.708,0.015561385908435244,MSFT,2_imputations_combined,2
EX5-200,2021-08-05 17:17:20,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""quarterly"",""4-year"",""seed2"",""single_run"",""12D-prediction""]",116.94,0.021740720662783184,MSFT,2_imputations_combined,2
EX5-199,2021-08-05 17:15:59,mavantwout,"[""12D-prediction"",""time-lag"",""20-step-ahead"",""4-year"",""quarterly"",""seed1"",""20-predictions"",""single_run""]",106.497,0.02139693812585086,MSFT,2_imputations_combined,1
EX5-198,2021-08-05 17:15:23,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""quarterly"",""4-year"",""seed1"",""single_run"",""12D-prediction""]",116.614,0.020506850792760396,MSFT,2_imputations_combined,1
EX5-197,2021-08-05 17:14:06,mavantwout,"[""12D-prediction"",""time-lag"",""20-step-ahead"",""4-year"",""quarterly"",""20-predictions"",""single_run"",""seed0""]",111.978,0.012153588287903295,MSFT,2_imputations_combined,0
EX5-196,2021-08-05 17:13:01,mavantwout,"[""20-step-ahead"",""presence"",""20-predictions"",""quarterly"",""4-year"",""single_run"",""seed0"",""12D-prediction""]",141.562,0.017068265148388766,MSFT,2_imputations_combined,0
EX5-195,2021-08-05 14:40:47,mavantwout,"[""seed4"",""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""12D-prediction""]",362.396,0.020195316774905114,KO,2_imputations_combined,4
EX5-194,2021-08-05 14:34:45,mavantwout,"[""seed3"",""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""12D-prediction""]",361.377,0.006769322816978637,KO,2_imputations_combined,3
EX5-193,2021-08-05 14:28:37,mavantwout,"[""single_run"",""seed2"",""quarterly"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""12D-prediction""]",366.896,0.005910640524483987,KO,2_imputations_combined,2
EX5-192,2021-08-05 14:22:29,mavantwout,"[""seed1"",""single_run"",""quarterly"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""12D-prediction""]",366.901,0.007894717220288821,KO,2_imputations_combined,1
EX5-191,2021-08-05 14:16:06,mavantwout,"[""single_run"",""seed0"",""quarterly"",""20-step-ahead"",""20-predictions"",""4-year"",""time-lag"",""12D-prediction""]",381.727,0.014522091019429825,KO,2_imputations_combined,0
EX5-185,2021-08-05 12:23:23,mavantwout,"[""20-step-ahead"",""presence"",""single_run"",""12D-prediction"",""4-year"",""seed4"",""20-predictions"",""quarterly""]",311.42,0.03791153792598869,KO,2_imputations_combined,4
