,noisy_sin_ahead6,noisy_sin
0,0.307878998,0
1,0.363578025,0.091712558
2,0.41350059,0.163984436
3,0.45918228,0.165154604
4,0.498170121,0.214123043
5,0.55500333,0.282331026
6,0.634663091,0.307878998
7,0.644960802,0.363578025
8,0.716219326,0.41350059
9,0.760805919,0.45918228
10,0.810474353,0.498170121
11,0.808776302,0.55500333
12,0.845058145,0.634663091
13,0.921673765,0.644960802
14,0.91588697,0.716219326
15,0.879855028,0.760805919
16,0.848999953,0.810474353
17,0.878895466,0.808776302
18,0.972918116,0.845058145
19,1.025081371,0.921673765
20,1.09207676,0.91588697
21,1.107349378,0.879855028
22,1.160890497,0.848999953
23,1.159652548,0.878895466
24,1.183653038,0.972918116
25,1.1775638,1.025081371
26,1.160137689,1.09207676
27,1.161588339,1.107349378
28,1.141465306,1.160890497
29,1.17479543,1.159652548
30,1.170769045,1.183653038
31,1.170739639,1.1775638
32,1.145182755,1.160137689
33,1.167221607,1.161588339
34,1.124618588,1.141465306
35,1.123375914,1.17479543
36,1.088226201,1.170769045
37,1.032472748,1.170739639
38,0.988733994,1.145182755
39,0.933094014,1.167221607
40,0.894059851,1.124618588
41,0.849198962,1.123375914
42,0.82297254,1.088226201
43,0.802986569,1.032472748
44,0.759073697,0.988733994
45,0.717473369,0.933094014
46,0.684351554,0.894059851
47,0.623960319,0.849198962
48,0.601504173,0.82297254
49,0.582181536,0.802986569
50,0.541889141,0.759073697
51,0.569431654,0.717473369
52,0.549957145,0.684351554
53,0.49761172,0.623960319
54,0.436957947,0.601504173
55,0.380025733,0.582181536
56,0.314417017,0.541889141
57,0.299806478,0.569431654
58,0.227969446,0.549957145
59,0.175605997,0.49761172
60,0.109466715,0.436957947
61,0.093098961,0.380025733
62,7.21E-07,0.314417017
63,-0.059360813,0.299806478
64,-0.110423187,0.227969446
65,-0.146779144,0.175605997
66,-0.177706216,0.109466715
67,-0.228735514,0.093098961
68,-0.240786386,7.21E-07
69,-0.272646833,-0.059360813
70,-0.235604502,-0.110423187
71,-0.321644206,-0.146779144
72,-0.339334919,-0.177706216
73,-0.40751249,-0.228735514
74,-0.466137336,-0.240786386
75,-0.435645357,-0.272646833
76,-0.410712816,-0.235604502
77,-0.496594304,-0.321644206
78,-0.529168349,-0.339334919
79,-0.554645679,-0.40751249
80,-0.642632463,-0.466137336
81,-0.663049506,-0.435645357
82,-0.667271255,-0.410712816
83,-0.674632913,-0.496594304
84,-0.748896468,-0.529168349
85,-0.723493413,-0.554645679
86,-0.72267628,-0.642632463
87,-0.728980106,-0.663049506
88,-0.754476761,-0.667271255
