,noisy_sin,noisy_sin_missing_values
0,0.0,
1,0.14119524193650768,0.14119524193650768
2,0.26592735623114316,0.26592735623114316
3,0.3677981496877911,
4,0.4748646643696664,0.4748646643696664
5,0.5569195850628367,0.5569195850628367
6,0.6930285679871306,0.6930285679871306
7,0.882085481574862,0.882085481574862
8,0.955381408260697,
9,1.0194428083992022,1.0194428083992022
10,1.0589710352402175,1.0589710352402175
11,1.1552286831792915,1.1552286831792915
12,1.1953989213428156,1.1953989213428156
13,1.252682563767682,1.252682563767682
14,1.2806430001429456,1.2806430001429456
15,1.2682971744461233,
16,1.3034748523829727,1.3034748523829727
17,1.3260820877916033,1.3260820877916033
18,1.348162853746327,1.348162853746327
19,1.3515538707956192,1.3515538707956192
20,1.3681937842194682,1.3681937842194682
21,1.3880234618549017,1.3880234618549017
22,1.3635627791422569,1.3635627791422569
23,1.2870468184233106,1.2870468184233106
24,1.2417075197503702,1.2417075197503702
25,1.097949719950164,1.097949719950164
26,0.9943797908699608,0.9943797908699608
27,0.9178805252978351,0.9178805252978351
28,0.7993939234621001,0.7993939234621001
29,0.6699238277419598,0.6699238277419598
30,0.5756447363647506,0.5756447363647506
31,0.4913555606883514,0.4913555606883514
32,0.4092157205231819,
33,0.2865875753292062,0.2865875753292062
34,0.26318569242885115,0.26318569242885115
35,0.1916425687279067,
36,0.05974155691129196,
37,-0.029299738470209058,-0.029299738470209058
38,-0.08706715006025689,-0.08706715006025689
39,-0.15564410854376487,-0.15564410854376487
40,-0.20537635404500065,-0.20537635404500065
41,-0.23761879409699915,
42,-0.3321836339219085,-0.3321836339219085
43,-0.4292183608189429,-0.4292183608189429
44,-0.5060531124098397,-0.5060531124098397
45,-0.5170273916117015,-0.5170273916117015
46,-0.5268556307441817,-0.5268556307441817
47,-0.5327941036440296,-0.5327941036440296
48,-0.6038136752859502,-0.6038136752859502
49,-0.6129372712553909,-0.6129372712553909
50,-0.6083031199906517,-0.6083031199906517
51,-0.5181226820380773,-0.5181226820380773
52,-0.509366675863151,-0.509366675863151
53,-0.4982233156366789,-0.4982233156366789
54,-0.391193466284813,-0.391193466284813
55,-0.3388059957828262,-0.3388059957828262
56,-0.28406827581447436,
57,-0.20381365109147687,
58,-0.13267402074492002,-0.13267402074492002
59,-0.0641184561280298,-0.0641184561280298
60,0.027887633315295535,
61,0.13435625242152724,
62,0.25689818498064165,0.25689818498064165
63,0.4025731209487453,
64,0.5033466299687739,0.5033466299687739
65,0.6153996506807876,0.6153996506807876
66,0.7435003348699902,0.7435003348699902
67,0.7832321212254183,
68,0.8507510516338768,0.8507510516338768
69,0.8928358613158764,0.8928358613158764
70,0.9424488048466404,0.9424488048466404
71,1.0013908882905262,1.0013908882905262
72,1.063044044769476,1.063044044769476
73,1.1405935060845867,1.1405935060845867
74,1.159747805438456,1.159747805438456
75,1.2249000126658256,1.2249000126658256
76,1.2556174074069149,1.2556174074069149
77,1.276759549915425,
78,1.279783232829928,1.279783232829928
79,1.3074093198870345,1.3074093198870345
80,1.3347443210442735,
81,1.3009681423344934,
82,1.2687602825598747,1.2687602825598747
83,1.2419808314822909,1.2419808314822909
84,1.1830337088808145,1.1830337088808145
85,1.0805414955226307,1.0805414955226307
86,0.9987780049620285,0.9987780049620285
87,0.9176597233145907,0.9176597233145907
88,0.8461180409572805,0.8461180409572805
89,0.7723027872337315,
90,0.6270351438293882,0.6270351438293882
91,0.5272060351665887,0.5272060351665887
92,0.49976082983768755,0.49976082983768755
93,0.40426321961955675,0.40426321961955675
94,0.3268399256842396,0.3268399256842396
95,0.21911959773826098,0.21911959773826098
96,0.12649956646554497,0.12649956646554497
97,0.032356432978194516,0.032356432978194516
98,-0.0846299585394103,-0.0846299585394103
99,-0.16114544954255888,-0.16114544954255888
100,-0.2692029457790739,
101,-0.3103450331885303,
102,-0.3409123937748593,
103,-0.4591751235175611,-0.4591751235175611
104,-0.49590572363086827,-0.49590572363086827
105,-0.5807434098415547,-0.5807434098415547
106,-0.6610060394219575,-0.6610060394219575
107,-0.6859140242017179,-0.6859140242017179
108,-0.7093041737818259,-0.7093041737818259
109,-0.7254885355307469,-0.7254885355307469
110,-0.7234635172145634,-0.7234635172145634
111,-0.7506950243543812,-0.7506950243543812
112,-0.7564910677578016,-0.7564910677578016
113,-0.700897424965246,
114,-0.6404492596195525,-0.6404492596195525
115,-0.6155908099653878,-0.6155908099653878
116,-0.575378491827313,-0.575378491827313
117,-0.5458928745942713,-0.5458928745942713
118,-0.4670430204196049,
119,-0.4249822406035445,
120,-0.2803305556714933,
121,-0.25612641278342263,-0.25612641278342263
122,-0.1560509203860097,-0.1560509203860097
123,-0.06369991076720047,-0.06369991076720047
124,-0.011583616442393613,-0.011583616442393613
125,0.06365531970940426,0.06365531970940426
126,0.14111033148210333,0.14111033148210333
127,0.20727196727224206,0.20727196727224206
128,0.32114411036836643,0.32114411036836643
129,0.4395309335472428,0.4395309335472428
130,0.5240253505749295,0.5240253505749295
131,0.65370886061842,0.65370886061842
132,0.7011046221027504,
133,0.7776823049121604,0.7776823049121604
134,0.8295806654877618,
135,0.8985616224089364,0.8985616224089364
136,0.8459008091403287,0.8459008091403287
137,0.9091528401510601,0.9091528401510601
138,0.9532915983719787,
139,0.9750834269777544,
140,0.9310753363380438,0.9310753363380438
141,0.9332458795388149,0.9332458795388149
142,0.886788838142306,0.886788838142306
143,0.8583158279057621,
144,0.7958292154889142,0.7958292154889142
145,0.7753660049801013,0.7753660049801013
146,0.7334977795170605,0.7334977795170605
147,0.646239044988303,0.646239044988303
148,0.5766543000957708,0.5766543000957708
149,0.5146106522609566,
150,0.4517991427426903,
151,0.3908281199923192,0.3908281199923192
152,0.33952392927717834,0.33952392927717834
153,0.26605674824387604,
154,0.1876725124746375,0.1876725124746375
155,0.09830674216281318,0.09830674216281318
156,-0.058274613055921576,-0.058274613055921576
157,-0.16689093860681545,-0.16689093860681545
158,-0.27707529293783373,
159,-0.3797761651288971,-0.3797761651288971
160,-0.5236310986825532,-0.5236310986825532
161,-0.628557279031718,-0.628557279031718
162,-0.7383612824912568,-0.7383612824912568
163,-0.8012008083310131,
164,-0.9276855580301973,-0.9276855580301973
165,-1.018328101040352,-1.018328101040352
166,-1.0757140921642963,
167,-1.1194913171633796,-1.1194913171633796
168,-1.1497253148158646,-1.1497253148158646
169,-1.1798029173531013,-1.1798029173531013
170,-1.1736274002541487,
171,-1.2315879649812618,
172,-1.274961831739612,-1.274961831739612
173,-1.3323452487842795,-1.3323452487842795
174,-1.325825471920549,-1.325825471920549
175,-1.3076408388154115,-1.3076408388154115
176,-1.3083090264488075,-1.3083090264488075
177,-1.2938837819461488,-1.2938837819461488
178,-1.225410469620522,-1.225410469620522
179,-1.1666157652733158,-1.1666157652733158
180,-1.0862140935001439,-1.0862140935001439
181,-1.0352177797471844,-1.0352177797471844
182,-0.9749949549945645,-0.9749949549945645
183,-0.9043035187585452,-0.9043035187585452
184,-0.8310774685232916,-0.8310774685232916
185,-0.7522846109670758,-0.7522846109670758
186,-0.6477830876263728,-0.6477830876263728
187,-0.5831358903033566,-0.5831358903033566
188,-0.5093312734382134,-0.5093312734382134
189,-0.4233365022263499,-0.4233365022263499
190,-0.34759428275628257,-0.34759428275628257
191,-0.27479169539547077,-0.27479169539547077
192,-0.16096408045673855,-0.16096408045673855
193,-0.09566152441275333,-0.09566152441275333
194,-0.07799293472219715,
195,-0.04946753342296517,-0.04946753342296517
196,-0.0018059238677199385,-0.0018059238677199385
197,0.12260383510762829,0.12260383510762829
198,0.19989965871239623,0.19989965871239623
199,0.20132389316712695,0.20132389316712695
200,0.26763574656798794,0.26763574656798794
201,0.2892482488933331,0.2892482488933331
202,0.3129086910819433,0.3129086910819433
203,0.328769520840292,0.328769520840292
204,0.30621845168070894,0.30621845168070894
205,0.2688100184805551,0.2688100184805551
206,0.21734442297660272,0.21734442297660272
207,0.20856317066985042,0.20856317066985042
208,0.21551424754845883,0.21551424754845883
209,0.17272176822263607,0.17272176822263607
210,0.06260161785709506,0.06260161785709506
211,-0.012633113260554163,
212,-0.04988575364389447,-0.04988575364389447
213,-0.1380317582349213,-0.1380317582349213
214,-0.23976931399081314,-0.23976931399081314
215,-0.2842801630197941,-0.2842801630197941
216,-0.3720778299887753,-0.3720778299887753
217,-0.4826212731226068,
218,-0.6109175182872513,
219,-0.7026375609702263,-0.7026375609702263
220,-0.81895340355329,-0.81895340355329
221,-0.8671694365901815,-0.8671694365901815
222,-0.9485559278315907,-0.9485559278315907
223,-1.0217697800047518,-1.0217697800047518
224,-1.0992557546912824,-1.0992557546912824
225,-1.2324725174326974,
226,-1.2253111551161406,-1.2253111551161406
227,-1.305724916365046,-1.305724916365046
228,-1.3619365800794505,
229,-1.4535731255982949,-1.4535731255982949
230,-1.5329833053508644,-1.5329833053508644
231,-1.5370770821748434,-1.5370770821748434
232,-1.5693945539378924,-1.5693945539378924
233,-1.569898595018264,-1.569898595018264
234,-1.6183768337188074,-1.6183768337188074
235,-1.6230444471753263,-1.6230444471753263
236,-1.602284623716231,-1.602284623716231
237,-1.5736541763346654,-1.5736541763346654
238,-1.5329247305007652,-1.5329247305007652
239,-1.5396765678055107,-1.5396765678055107
240,-1.488931503602737,-1.488931503602737
241,-1.4752014254017658,-1.4752014254017658
242,-1.3715702927836233,-1.3715702927836233
243,-1.2938956748588017,-1.2938956748588017
244,-1.227129560080489,-1.227129560080489
245,-1.1484626081853337,-1.1484626081853337
246,-1.0952890266795516,
247,-1.0042329579423197,-1.0042329579423197
248,-0.8865234713366608,-0.8865234713366608
249,-0.8258811606303558,-0.8258811606303558
250,-0.7490988203936567,-0.7490988203936567
251,-0.6680798482096908,-0.6680798482096908
252,-0.5489911949011438,-0.5489911949011438
253,-0.4651096947329147,-0.4651096947329147
254,-0.37170093941433774,-0.37170093941433774
255,-0.28531331198404714,
256,-0.18857971263015028,
257,-0.10572111889810953,-0.10572111889810953
258,-0.038213302836350826,
259,-0.0179301347369486,
260,0.06263102634125839,0.06263102634125839
261,0.13735723979330605,0.13735723979330605
262,0.2058142062562912,0.2058142062562912
263,0.196641920005162,0.196641920005162
264,0.1990009280591235,0.1990009280591235
265,0.18701204322941833,0.18701204322941833
266,0.19565334004576318,0.19565334004576318
267,0.2397167028595043,0.2397167028595043
268,0.2098943366831234,0.2098943366831234
269,0.2110226705870648,0.2110226705870648
270,0.2431725923252448,0.2431725923252448
271,0.21082911776329072,0.21082911776329072
272,0.18421272490104879,0.18421272490104879
273,0.15353730561812184,0.15353730561812184
274,0.10735456697093204,
275,0.0005941628255922149,0.0005941628255922149
276,-0.049195879371747964,-0.049195879371747964
277,-0.09833553625271096,-0.09833553625271096
278,-0.20676257448750096,
279,-0.2608873935458691,-0.2608873935458691
280,-0.36226242394156194,-0.36226242394156194
281,-0.4748998885650274,-0.4748998885650274
282,-0.5496988208002438,-0.5496988208002438
283,-0.6899611992796314,-0.6899611992796314
284,-0.791324482207674,-0.791324482207674
285,-0.8187819945522534,-0.8187819945522534
286,-0.9411112694083505,-0.9411112694083505
287,-1.0328629135820275,
288,-1.1013024773191262,-1.1013024773191262
289,-1.1800101267863619,
290,-1.275372576752798,-1.275372576752798
291,-1.3318584699748586,-1.3318584699748586
292,-1.3637130293312723,-1.3637130293312723
293,-1.4663820186838792,-1.4663820186838792
294,-1.5404033191030084,
295,-1.6106141988858584,-1.6106141988858584
296,-1.6464061232982456,-1.6464061232982456
297,-1.702987487700725,
298,-1.7009579649848825,-1.7009579649848825
299,-1.7217891052283971,-1.7217891052283971
300,-1.6758290186007012,-1.6758290186007012
301,-1.7026003986318945,-1.7026003986318945
302,-1.6739538384506134,-1.6739538384506134
