,sinus,noisy_sin_missing_values
0,0.0,0.0
1,0.09983341664682815,0.09983341664682815
2,0.19866933079506122,0.19866933079506122
3,0.29552020666133955,0.29552020666133955
4,0.3894183423086505,
5,0.479425538604203,0.479425538604203
6,0.5646424733950354,0.5646424733950354
7,0.644217687237691,0.644217687237691
8,0.7173560908995228,0.7173560908995228
9,0.7833269096274834,
10,0.8414709848078965,0.8414709848078965
11,0.8912073600614354,0.8912073600614354
12,0.9320390859672263,
13,0.963558185417193,0.963558185417193
14,0.9854497299884601,0.9854497299884601
15,0.9974949866040544,0.9974949866040544
16,0.9995736030415051,
17,0.9916648104524686,0.9916648104524686
18,0.9738476308781951,0.9738476308781951
19,0.9463000876874145,0.9463000876874145
20,0.9092974268256817,0.9092974268256817
21,0.8632093666488737,0.8632093666488737
22,0.8084964038195901,0.8084964038195901
23,0.7457052121767203,0.7457052121767203
24,0.675463180551151,0.675463180551151
25,0.5984721441039564,0.5984721441039564
26,0.5155013718214642,
27,0.4273798802338298,0.4273798802338298
28,0.3349881501559051,0.3349881501559051
29,0.23924932921398243,
30,0.1411200080598672,0.1411200080598672
31,0.04158066243329049,0.04158066243329049
32,-0.058374143427580086,
33,-0.1577456941432482,-0.1577456941432482
34,-0.2555411020268312,-0.2555411020268312
35,-0.35078322768961984,-0.35078322768961984
36,-0.44252044329485246,-0.44252044329485246
37,-0.5298361409084934,-0.5298361409084934
38,-0.6118578909427189,
39,-0.6877661591839738,-0.6877661591839738
40,-0.7568024953079282,-0.7568024953079282
41,-0.8182771110644103,-0.8182771110644103
42,-0.8715757724135882,
43,-0.9161659367494549,-0.9161659367494549
44,-0.9516020738895161,-0.9516020738895161
45,-0.977530117665097,-0.977530117665097
46,-0.9936910036334644,-0.9936910036334644
47,-0.9999232575641008,-0.9999232575641008
48,-0.9961646088358407,
49,-0.9824526126243325,-0.9824526126243325
50,-0.9589242746631385,
51,-0.9258146823277325,-0.9258146823277325
52,-0.8834546557201531,-0.8834546557201531
53,-0.8322674422239013,-0.8322674422239013
54,-0.7727644875559871,-0.7727644875559871
55,-0.7055403255703919,
56,-0.6312666378723216,-0.6312666378723216
57,-0.5506855425976376,-0.5506855425976376
58,-0.46460217941375737,-0.46460217941375737
59,-0.373876664830236,-0.373876664830236
60,-0.27941549819892586,
61,-0.18216250427209588,-0.18216250427209588
62,-0.0830894028174964,-0.0830894028174964
63,0.016813900484349713,0.016813900484349713
64,0.11654920485049364,0.11654920485049364
65,0.21511998808781552,0.21511998808781552
66,0.31154136351337786,0.31154136351337786
67,0.4048499206165983,0.4048499206165983
68,0.49411335113860816,0.49411335113860816
69,0.5784397643882001,0.5784397643882001
70,0.6569865987187891,0.6569865987187891
71,0.7289690401258759,0.7289690401258759
72,0.7936678638491531,0.7936678638491531
73,0.8504366206285644,0.8504366206285644
74,0.8987080958116269,
75,0.9379999767747389,
76,0.9679196720314863,
77,0.9881682338770004,0.9881682338770004
78,0.998543345374605,0.998543345374605
79,0.998941341839772,0.998941341839772
80,0.9893582466233818,0.9893582466233818
81,0.9698898108450863,0.9698898108450863
82,0.9407305566797731,
83,0.9021718337562933,0.9021718337562933
84,0.8545989080882805,0.8545989080882805
85,0.7984871126234903,0.7984871126234903
86,0.7343970978741133,0.7343970978741133
87,0.6629692300821833,
88,0.5849171928917617,
89,0.5010208564578846,0.5010208564578846
90,0.4121184852417566,
91,0.3190983623493521,0.3190983623493521
92,0.22288991410024764,0.22288991410024764
93,0.1244544235070617,0.1244544235070617
94,0.024775425453357765,
95,-0.0751511204618093,-0.0751511204618093
96,-0.17432678122297965,-0.17432678122297965
97,-0.27176062641094245,-0.27176062641094245
98,-0.3664791292519284,-0.3664791292519284
99,-0.45753589377532133,-0.45753589377532133
100,-0.5440211108893698,-0.5440211108893698
101,-0.6250706488928821,-0.6250706488928821
102,-0.6998746875935423,-0.6998746875935423
103,-0.7676858097635825,-0.7676858097635825
104,-0.8278264690856537,-0.8278264690856537
105,-0.87969575997167,-0.87969575997167
106,-0.9227754216128067,-0.9227754216128067
107,-0.9566350162701879,
108,-0.9809362300664916,-0.9809362300664916
109,-0.9954362533063774,-0.9954362533063774
110,-0.9999902065507035,-0.9999902065507035
111,-0.9945525882039892,-0.9945525882039892
112,-0.9791777291513174,-0.9791777291513174
113,-0.954019249902089,-0.954019249902089
114,-0.9193285256646757,-0.9193285256646757
115,-0.8754521746884285,-0.8754521746884285
116,-0.8228285949687089,-0.8228285949687089
117,-0.7619835839190333,-0.7619835839190333
118,-0.6935250847771224,-0.6935250847771224
119,-0.6181371122370333,-0.6181371122370333
120,-0.5365729180004349,-0.5365729180004349
121,-0.44964746453460147,-0.44964746453460147
122,-0.3582292822368287,-0.3582292822368287
123,-0.26323179136580094,-0.26323179136580094
124,-0.1656041754483094,-0.1656041754483094
125,-0.06632189735120068,
126,0.033623047221136695,0.033623047221136695
127,0.13323204141994222,0.13323204141994222
128,0.23150982510153895,0.23150982510153895
129,0.32747443913769303,0.32747443913769303
130,0.4201670368266409,0.4201670368266409
