,noisy_sin,noisy_sin_random_missing,noisy_sin_regular_missing
0,0.0,0.0,0.0
1,0.05008505559567805,0.05008505559567805,0.05008505559567805
2,0.10860234623029913,0.10860234623029913,
3,0.11749000714562671,0.11749000714562671,0.11749000714562671
4,0.2156555238597983,0.2156555238597983,0.2156555238597983
5,0.23180332866792905,0.23180332866792905,
6,0.26992109711380896,,0.26992109711380896
7,0.33921608323309294,,0.33921608323309294
8,0.3661449797907923,0.3661449797907923,
9,0.39653994740866366,0.39653994740866366,0.39653994740866366
10,0.4293747261884276,0.4293747261884276,0.4293747261884276
11,0.4956729728325817,0.4956729728325817,
12,0.6019797783986802,,0.6019797783986802
13,0.6534318027935493,0.6534318027935493,0.6534318027935493
14,0.6758321958635783,0.6758321958635783,
15,0.7359456806773499,0.7359456806773499,0.7359456806773499
16,0.7673900888985487,0.7673900888985487,0.7673900888985487
17,0.8107243822931225,,
18,0.8805129663261917,0.8805129663261917,0.8805129663261917
19,0.9026762190580467,,0.9026762190580467
20,0.940756396859075,0.940756396859075,
21,0.9556526815062749,,0.9556526815062749
22,0.9854927485699809,0.9854927485699809,0.9854927485699809
23,1.0228882829900328,1.0228882829900328,
24,1.0284146424388942,1.0284146424388942,1.0284146424388942
25,1.0470177811080483,,1.0470177811080483
26,1.0656608653389483,1.0656608653389483,
27,1.0723388155054137,1.0723388155054137,1.0723388155054137
28,1.0634951541261664,1.0634951541261664,1.0634951541261664
29,1.046614900142452,1.046614900142452,
30,1.057320858702499,1.057320858702499,1.057320858702499
31,1.0627605791313934,1.0627605791313934,1.0627605791313934
32,1.1250316092577228,1.1250316092577228,
33,1.073997444175225,1.073997444175225,1.073997444175225
34,1.0809174484422965,,1.0809174484422965
35,1.0914437563317747,1.0914437563317747,
36,1.1229599515544182,,1.1229599515544182
37,1.131642951769766,1.131642951769766,1.131642951769766
38,1.105931006207183,1.105931006207183,
39,1.0978588109738627,1.0978588109738627,1.0978588109738627
40,1.1003020506268004,1.1003020506268004,1.1003020506268004
41,1.0801152064688861,1.0801152064688861,
42,1.0834173622907561,,1.0834173622907561
43,1.0218681450000369,1.0218681450000369,1.0218681450000369
44,1.0436332252873335,1.0436332252873335,
45,1.0570791708689915,1.0570791708689915,1.0570791708689915
46,1.0257246857955606,1.0257246857955606,1.0257246857955606
47,1.0149444046675329,,
48,0.9889659577601182,0.9889659577601182,0.9889659577601182
49,0.9404302900046217,0.9404302900046217,0.9404302900046217
50,0.9120196473446534,0.9120196473446534,
51,0.9037318928065872,,0.9037318928065872
52,0.8612051960222767,0.8612051960222767,0.8612051960222767
53,0.817469072444246,0.817469072444246,
54,0.7796531052487374,0.7796531052487374,0.7796531052487374
55,0.7527767775799618,0.7527767775799618,0.7527767775799618
56,0.7449519825391697,0.7449519825391697,
57,0.6908202326168348,0.6908202326168348,0.6908202326168348
58,0.6630529055024114,0.6630529055024114,0.6630529055024114
59,0.6276939637631279,0.6276939637631279,
60,0.542548800858625,0.542548800858625,0.542548800858625
61,0.4911637320281765,0.4911637320281765,0.4911637320281765
62,0.4463059278761817,0.4463059278761817,
63,0.40348820700380394,0.40348820700380394,0.40348820700380394
64,0.3693114063861298,,0.3693114063861298
65,0.27904354398990106,0.27904354398990106,
66,0.2385215495762682,0.2385215495762682,0.2385215495762682
67,0.1811462007485668,0.1811462007485668,0.1811462007485668
68,0.10614142522566838,0.10614142522566838,
69,0.07833211556559139,0.07833211556559139,0.07833211556559139
70,0.05622664688442458,,0.05622664688442458
71,0.001969448341264446,0.001969448341264446,
72,-0.015851780687334616,-0.015851780687334616,-0.015851780687334616
73,-0.06169033022014514,,-0.06169033022014514
74,-0.09574307831085749,,
75,-0.1562017754132916,-0.1562017754132916,-0.1562017754132916
76,-0.15159949987879706,-0.15159949987879706,-0.15159949987879706
77,-0.24628902096839167,-0.24628902096839167,
78,-0.278456973173158,,-0.278456973173158
79,-0.29030275243648496,,-0.29030275243648496
80,-0.3651893655677746,-0.3651893655677746,
81,-0.3944790941653552,,-0.3944790941653552
82,-0.4192054880018632,-0.4192054880018632,-0.4192054880018632
83,-0.4205478583040576,-0.4205478583040576,
84,-0.4097952594831721,-0.4097952594831721,-0.4097952594831721
85,-0.43616007474248264,-0.43616007474248264,-0.43616007474248264
86,-0.48364335306003325,,
87,-0.4635850711653158,,-0.4635850711653158
88,-0.4448116825513002,-0.4448116825513002,-0.4448116825513002
89,-0.46361793589434463,-0.46361793589434463,
90,-0.4607896405651982,-0.4607896405651982,-0.4607896405651982
91,-0.4548609409185098,-0.4548609409185098,-0.4548609409185098
92,-0.4421666694975359,-0.4421666694975359,
93,-0.4356638296582904,-0.4356638296582904,-0.4356638296582904
94,-0.3981991295994842,-0.3981991295994842,-0.3981991295994842
95,-0.43297089780064735,-0.43297089780064735,
96,-0.39935720451385426,,-0.39935720451385426
97,-0.37901247639729185,,-0.37901247639729185
98,-0.3704617474684515,,
99,-0.32652363253507055,,-0.32652363253507055
100,-0.3637376220388433,,-0.3637376220388433
101,-0.3154263135178059,,
102,-0.2832505498345822,,-0.2832505498345822
103,-0.28491244026498963,,-0.28491244026498963
104,-0.24721347896710222,-0.24721347896710222,
105,-0.22489341480883562,-0.22489341480883562,-0.22489341480883562
106,-0.13191848888674917,-0.13191848888674917,-0.13191848888674917
107,-0.0547548721690142,-0.0547548721690142,
108,-0.008779801335017656,-0.008779801335017656,-0.008779801335017656
109,0.01150119740213762,0.01150119740213762,0.01150119740213762
110,0.03676820347369769,0.03676820347369769,
111,0.06984322895944994,0.06984322895944994,0.06984322895944994
112,0.09891808213407038,,0.09891808213407038
113,0.12136131441537346,0.12136131441537346,
114,0.1525828132842021,,0.1525828132842021
115,0.19256314470064995,0.19256314470064995,0.19256314470064995
116,0.2280082441486807,0.2280082441486807,
117,0.26020917531372667,0.26020917531372667,0.26020917531372667
118,0.2878997908025487,,0.2878997908025487
119,0.3990327074466917,0.3990327074466917,
120,0.41536860090997485,,0.41536860090997485
121,0.4430345570998607,0.4430345570998607,0.4430345570998607
