Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio,EnterpriseValue_forwardfill,EnterpriseValue_globalmean,EnterpriseValue_meanlast260,EnterpriseValue_linearfit260,EnterpriseValue_cubicfit260,PeRatio_forwardfill,PeRatio_globalmean,PeRatio_meanlast260,PeRatio_linearfit260,PeRatio_cubicfit260,ForwardPeRatio_forwardfill,ForwardPeRatio_globalmean,ForwardPeRatio_meanlast260,ForwardPeRatio_linearfit260,ForwardPeRatio_cubicfit260,PegRatio_forwardfill,PegRatio_globalmean,PegRatio_meanlast260,PegRatio_linearfit260,PegRatio_cubicfit260,EnterprisesValueEBITDARatio_forwardfill,EnterprisesValueEBITDARatio_globalmean,EnterprisesValueEBITDARatio_meanlast260,EnterprisesValueEBITDARatio_linearfit260,EnterprisesValueEBITDARatio_cubicfit260,missing-1or1,time_lag
2017-03-31,42.43999863,204854120000.0,28.483,22.676,5.674,101.063,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,1,0
2017-04-03,42.40999985,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,1
2017-04-04,42.68000031,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,2
2017-04-05,42.56999969,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,3
2017-04-06,42.66999817,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,4
2017-04-07,42.61000061,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,5
2017-04-10,42.68999863,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,6
2017-04-11,42.65999985,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,7
2017-04-12,42.93999863,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,8
2017-04-13,42.79000092,,,,,,204854120000.0,204854120000.0,204854120000.0,204854120000.0,204854120000.0,28.483,28.483,28.483,28.483,28.483,22.676,22.676,22.676,22.676,22.676,5.674,5.674,5.674,5.674,5.674,101.063,101.063,101.063,101.063,101.063,-1,9
