Date,Close,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,EnterprisesValueEBITDARatio,EnterpriseValue_forwardfill,EnterpriseValue_globalmean,EnterpriseValue_meanlast260,EnterpriseValue_linearfit260,EnterpriseValue_cubicfit260,PeRatio_forwardfill,PeRatio_globalmean,PeRatio_meanlast260,PeRatio_linearfit260,PeRatio_cubicfit260,ForwardPeRatio_forwardfill,ForwardPeRatio_globalmean,ForwardPeRatio_meanlast260,ForwardPeRatio_linearfit260,ForwardPeRatio_cubicfit260,PegRatio_forwardfill,PegRatio_globalmean,PegRatio_meanlast260,PegRatio_linearfit260,PegRatio_cubicfit260,EnterprisesValueEBITDARatio_forwardfill,EnterprisesValueEBITDARatio_globalmean,EnterprisesValueEBITDARatio_meanlast260,EnterprisesValueEBITDARatio_linearfit260,EnterprisesValueEBITDARatio_cubicfit260,missing-1or1,time_lag
2017-03-31,65.86000061,470825780000.0,30.92,20.121,2.267,52.442,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,1,0
2017-04-03,65.55000305,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,1
2017-04-04,65.73000336,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,2
2017-04-05,65.55999756,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,3
2017-04-06,65.73000336,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,4
2017-04-07,65.68000031,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,5
2017-04-10,65.52999878,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,6
2017-04-11,65.48000336,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,7
2017-04-12,65.23000336,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,8
2017-04-13,64.94999695,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,9
2017-04-17,65.48000336,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,10
2017-04-18,65.38999939,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,11
2017-04-19,65.04000092,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,12
2017-04-20,65.5,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,13
2017-04-21,66.40000153,,,,,,470825780000.0,470825780000.0,470825780000.0,470825780000.0,470825780000.0,30.92,30.92,30.92,30.92,30.92,20.121,20.121,20.121,20.121,20.121,2.267,2.267,2.267,2.267,2.267,52.442,52.442,52.442,52.442,52.442,-1,14
